idx,idy,ntdiff,carcass.x,carcass.y,Cluster.x,Cluster.y,species.x,species.y,geog.x,geog.y,ascale,value,withinorbetween,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_B,AN16-155_S,0,AN16-155,AN16-155,C4,C4,sheep,sheep,South,South,epi,epi,Linked Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_S1,AN16-14_D1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,epi,epi,Linked Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_D1,AN16-14_S1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,epi,epi,Linked Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-160_D1,28,AN16-160,AN16-160,C4,C4,cow,cow,South,South,carcass,carcass,Same Carcass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-160_D2,28,AN16-160,AN16-160,C4,C4,cow,cow,South,South,carcass,carcass,Same Carcass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_S,AN16-155_B,0,AN16-155,AN16-155,C4,C4,sheep,sheep,South,South,carcass,carcass,Same Carcass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_B,AN16-155_S,0,AN16-155,AN16-155,C4,C4,sheep,sheep,South,South,carcass,carcass,Same Carcass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_S1,AN16-14_D1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,carcass,carcass,Same Carcass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_D1,AN16-14_S1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,carcass,carcass,Same Carcass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-160_D1,28,AN16-160,AN16-160,C4,C4,cow,cow,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-155_S,3,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-155_B,3,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-160_D2,28,AN16-160,AN16-160,C4,C4,cow,cow,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-155_S,25,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-155_B,25,AN16-160,AN16-155,C4,C4,cow,sheep,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_S,AN16-160_D2,3,AN16-155,AN16-160,C4,C4,sheep,cow,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_S,AN16-160_D1,25,AN16-155,AN16-160,C4,C4,sheep,cow,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_S,AN16-155_B,0,AN16-155,AN16-155,C4,C4,sheep,sheep,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_B,AN16-160_D2,3,AN16-155,AN16-160,C4,C4,sheep,cow,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_B,AN16-160_D1,25,AN16-155,AN16-160,C4,C4,sheep,cow,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_B,AN16-155_S,0,AN16-155,AN16-155,C4,C4,sheep,sheep,South,South,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_S1,AN16-14_D1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_D1,AN16-14_S1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,geog,geog,Same Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-160_D1,28,AN16-160,AN16-160,C4,C4,cow,cow,South,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-14_S1,19,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D2,AN16-14_D1,5,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-160_D2,28,AN16-160,AN16-160,C4,C4,cow,cow,South,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-14_S1,31,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-160_D1,AN16-14_D1,27,AN16-160,AN16-14,C4,C2,cow,cow,South,Central,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_S,AN16-155_B,0,AN16-155,AN16-155,C4,C4,sheep,sheep,South,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-155_B,AN16-155_S,0,AN16-155,AN16-155,C4,C4,sheep,sheep,South,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_S1,AN16-160_D2,19,AN16-14,AN16-160,C2,C4,cow,cow,Central,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_S1,AN16-160_D1,31,AN16-14,AN16-160,C2,C4,cow,cow,Central,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_S1,AN16-14_D1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_D1,AN16-160_D2,5,AN16-14,AN16-160,C2,C4,cow,cow,Central,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_D1,AN16-160_D1,27,AN16-14,AN16-160,C2,C4,cow,cow,Central,South,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN16-14_D1,AN16-14_S1,18,AN16-14,AN16-14,C2,C2,cow,cow,Central,Central,species,species,Same Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
